km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age
20000,Petrol,Dealer,Automatic,First Owner,22,2487,214,5,3
45000,Diesel,Dealer,Automatic,First Owner,19,1999,177,5,5
17000,Petrol,Individual,Automatic,First Owner,9,3604,280,5,5
21000,Diesel,Dealer,Automatic,First Owner,12,1999,148,7,3
37000,Diesel,Dealer,Automatic,First Owner,13,2987,254,5,5
29500,Diesel,Dealer,Automatic,First Owner,22,1995,187,5,4
7500,Diesel,Dealer,Automatic,First Owner,16,1995,190,5,3
50000,Petrol,Dealer,Automatic,First Owner,14,1798,177,5,4
35000,Diesel,Dealer,Automatic,First Owner,15,2143,204,5,6
19000,Petrol,Dealer,Automatic,First Owner,13,1451,141,5,3
41000,Petrol,Dealer,Automatic,First Owner,18,1497,117,5,5
39000,Petrol,Dealer,Automatic,First Owner,14,1798,138,5,9
22000,Diesel,Dealer,Automatic,First Owner,18,1969,190,5,4
53000,Diesel,Dealer,Automatic,First Owner,12,2967,241,7,7
40000,Diesel,Dealer,Manual,First Owner,26,1248,88,5,7
47000,Diesel,Dealer,Automatic,First Owner,13,2987,282,5,5
72200,Petrol,Dealer,Automatic,Second Owner,10,2497,150,5,12
49900,Petrol,Dealer,Manual,First Owner,16,1797,147,5,6
9000,Diesel,Dealer,Automatic,First Owner,13,1999,177,5,5
11000,Petrol,Dealer,Manual,First Owner,17,1198,108,5,4
49000,Petrol,Individual,Manual,First Owner,15,1598,103,5,11
95000,Petrol,Individual,Manual,First Owner,16,1797,147,5,10
11000,Petrol,Dealer,Automatic,First Owner,14,1598,103,5,6
18000,Petrol,Dealer,Automatic,First Owner,15,1991,183,5,4
46100,Petrol,Dealer,Manual,First Owner,16,1373,93,7,8
16000,Petrol,Dealer,Automatic,First Owner,14,1991,181,5,5
18000,Petrol,Dealer,Automatic,First Owner,15,1497,116,5,5
9654,Petrol,Dealer,Automatic,First Owner,19,1197,81,5,3
11000,Petrol,Dealer,Manual,First Owner,23,998,67,5,11
24300,Petrol,Dealer,Manual,First Owner,21,1197,81,5,10
42163,Diesel,Dealer,Automatic,Second Owner,11,2755,171,7,6
8000,Diesel,Dealer,Automatic,First Owner,21,1497,108,5,4
30000,Diesel,Dealer,Automatic,First Owner,22,1995,190,5,6
41000,Petrol,Dealer,Automatic,First Owner,19,2494,157,5,6
12000,Diesel,Dealer,Automatic,First Owner,18,1995,190,5,6
71000,Petrol,Dealer,Automatic,First Owner,12,2362,164,5,13
20000,Petrol,Individual,Manual,First Owner,17,1373,91,7,6
30000,Petrol,Individual,Automatic,First Owner,42,1969,400,4,5
100000,Diesel,Individual,Manual,Second Owner,20,1598,103,5,11
9500,Petrol,Individual,Manual,First Owner,18,1196,86,5,4
120000,Diesel,Individual,Manual,First Owner,20,1399,68,5,11
36600,Petrol,Individual,Manual,First Owner,20,1197,81,5,7
50000,Petrol,Individual,Automatic,Second Owner,20,998,67,5,7
14000,Petrol,Individual,Manual,Second Owner,18,1197,81,5,6
40000,Petrol,Individual,Manual,Second Owner,16,796,37,4,23
120000,Diesel,Individual,Manual,First Owner,21,1248,73,5,12
70000,Petrol,Individual,Manual,First Owner,18,1197,82,5,7
13000,Petrol,Individual,Manual,First Owner,19,999,75,5,3
60000,Petrol,Individual,Manual,Second Owner,18,1197,82,5,8
35000,Petrol,Individual,Manual,First Owner,19,1197,85,5,8
44000,Petrol,Individual,Manual,Second Owner,19,1197,82,5,6
120000,Petrol,Individual,Manual,Second Owner,13,1493,100,5,17
60000,Diesel,Individual,Manual,First Owner,21,1364,87,5,12
60000,Petrol,Individual,Manual,First Owner,18,796,53,5,22
30000,Diesel,Individual,Manual,Second Owner,13,2982,168,7,8
15000,Petrol,Individual,Manual,Second Owner,18,1198,82,6,6
90000,Diesel,Individual,Manual,First Owner,22,1248,74,5,5
47000,Petrol,Individual,Manual,Second Owner,17,1497,118,5,13
90000,Petrol,Individual,Manual,First Owner,17,993,60,5,17
120600,Petrol,Individual,Manual,Second Owner,18,998,67,5,12
100000,Petrol,Individual,Manual,Third Owner,16,1599,103,5,12
60000,Petrol,Individual,Manual,Second Owner,20,1197,83,5,6
86000,Petrol,Individual,Manual,First Owner,15,1341,83,5,17
5000,Petrol,Individual,Manual,First Owner,18,1197,81,5,2
37000,Diesel,Individual,Manual,First Owner,28,1248,88,5,5
14000,Petrol,Individual,Manual,First Owner,20,1199,84,5,3
70000,Diesel,Individual,Manual,First Owner,20,1248,88,7,7
50000,Petrol,Individual,Manual,First Owner,17,1497,117,5,7
60000,Petrol,Individual,Manual,Second Owner,19,1198,86,5,8
50000,CNG,Individual,Manual,First Owner,26,998,58,5,6
50000,Petrol,Individual,Manual,First Owner,20,1197,83,5,5
70000,Petrol,Individual,Manual,First Owner,18,1197,82,5,9
35000,Petrol,Individual,Automatic,First Owner,20,998,67,5,4
20000,Petrol,Individual,Manual,First Owner,21,1197,81,5,5
20000,Petrol,Individual,Manual,First Owner,24,796,47,5,4
7800,Petrol,Individual,Automatic,First Owner,22,1197,81,5,4
20000,Petrol,Individual,Manual,First Owner,20,1197,81,5,5
15000,Diesel,Individual,Manual,First Owner,17,2179,147,7,3
31377,Petrol,Individual,Manual,Second Owner,18,1197,82,5,9
50000,Diesel,Individual,Manual,First Owner,28,1248,74,5,4
60000,Petrol,Individual,Manual,First Owner,20,998,67,5,7
100000,Petrol,Individual,Automatic,First Owner,14,1794,138,5,10
60000,Petrol,Individual,Manual,First Owner,19,1198,86,5,10
5000,Petrol,Individual,Automatic,First Owner,21,1197,83,5,4
60000,Diesel,Individual,Manual,First Owner,14,2179,147,7,5
25000,Petrol,Individual,Manual,Second Owner,19,796,46,5,11
30000,Petrol,Individual,Manual,First Owner,25,799,53,5,4
80000,Petrol,Individual,Manual,Second Owner,20,1198,67,5,5
75000,Diesel,Individual,Manual,First Owner,24,1248,88,5,5
32000,Petrol,Individual,Manual,First Owner,20,1197,81,5,2
40000,Petrol,Individual,Manual,First Owner,22,796,47,5,7
93000,Petrol,Individual,Manual,Second Owner,17,1197,80,5,10
60000,Petrol,Individual,Manual,First Owner,17,1193,88,5,4
37000,Petrol,Individual,Manual,First Owner,16,1498,97,5,8
15000,Petrol,Individual,Manual,First Owner,17,1497,121,5,4
80000,Petrol,Individual,Manual,First Owner,19,1198,67,5,7
140000,Petrol,Individual,Manual,First Owner,20,998,67,5,6
70000,Diesel,Individual,Manual,First Owner,12,2696,162,7,9
120000,Diesel,Individual,Manual,Second Owner,17,1493,100,7,9
110000,Diesel,Individual,Manual,Second Owner,21,1248,73,5,12
37000,Diesel,Individual,Manual,First Owner,19,1582,126,5,5
44000,Petrol,Individual,Manual,First Owner,25,799,53,5,6
80000,Diesel,Individual,Manual,First Owner,20,1248,88,7,7
125000,Diesel,Individual,Manual,First Owner,15,2179,140,7,7
13500,Petrol,Individual,Manual,First Owner,15,1196,73,5,5
75000,Petrol,Individual,Manual,First Owner,17,1086,62,5,11
120000,Petrol,Individual,Manual,Second Owner,13,1495,94,5,15
120000,Diesel,Individual,Manual,First Owner,15,2179,140,7,10
70000,Diesel,Individual,Manual,First Owner,12,2494,100,7,9
70000,Diesel,Individual,Manual,First Owner,23,1248,74,5,9
15000,Petrol,Individual,Automatic,First Owner,19,1199,88,5,3
53000,Petrol,Individual,Manual,Second Owner,20,1197,78,5,13
120000,Diesel,Individual,Manual,Second Owner,23,1248,74,5,8
70000,Diesel,Individual,Manual,First Owner,24,1248,88,7,6
120000,Petrol,Individual,Manual,Second Owner,14,1341,82,5,14
100000,Petrol,Individual,Manual,Second Owner,18,1197,80,5,10
100000,Petrol,Individual,Manual,First Owner,20,1197,83,5,7
162500,Diesel,Individual,Manual,First Owner,19,1405,70,5,9
39000,Diesel,Individual,Manual,First Owner,22,1396,88,5,5
75000,Diesel,Individual,Manual,First Owner,26,1248,74,5,5
50000,Diesel,Individual,Automatic,First Owner,17,2179,153,7,5
40000,Diesel,Individual,Manual,First Owner,17,1497,121,8,3
92500,Diesel,Individual,Manual,First Owner,22,1582,126,5,9
158000,Diesel,Individual,Manual,First Owner,23,1248,74,5,10
120000,Diesel,Individual,Manual,First Owner,19,1248,73,5,10
50000,Diesel,Individual,Manual,Second Owner,26,1498,98,5,7
110000,Diesel,Individual,Manual,First Owner,19,1248,73,5,10
2000,Diesel,Individual,Manual,Second Owner,25,1186,73,5,5
181000,Diesel,Individual,Manual,Second Owner,11,2982,171,7,11
70000,Diesel,Individual,Manual,First Owner,27,1047,69,5,6
90000,Petrol,Individual,Automatic,Second Owner,17,1498,99,5,9
2000,Petrol,Individual,Manual,First Owner,18,1197,81,5,3
20000,Petrol,Individual,Manual,First Owner,20,1197,83,5,7
120000,Diesel,Individual,Manual,First Owner,12,2494,102,7,11
35000,Diesel,Individual,Manual,First Owner,16,2498,105,6,5
193000,Diesel,Individual,Manual,First Owner,19,1248,73,5,10
80000,Petrol,Individual,Manual,First Owner,20,1197,81,5,8
40000,Petrol,Individual,Manual,First Owner,19,1198,67,5,3
70000,Diesel,Individual,Manual,Fourth & Above Owner,22,1396,88,5,7
122358,Diesel,Individual,Manual,First Owner,12,2179,120,9,11
75000,Diesel,Individual,Manual,First Owner,14,2956,69,7,7
120000,Diesel,Individual,Manual,First Owner,27,1047,69,5,5
40000,Petrol,Individual,Manual,First Owner,17,1193,88,5,7
95200,Petrol,Individual,Manual,Third Owner,13,1495,94,5,14
33033,Petrol,Dealer,Manual,First Owner,19,1198,86,5,8
63063,Petrol,Dealer,Automatic,First Owner,18,1197,82,5,7
60000,Diesel,Individual,Manual,First Owner,21,1248,88,5,10
45000,Petrol,Individual,Manual,Second Owner,19,796,46,5,17
80000,Diesel,Individual,Manual,Third Owner,11,2179,138,7,11
170000,Diesel,Individual,Manual,Second Owner,13,2523,63,7,13
207890,Diesel,Individual,Manual,Second Owner,13,2523,63,7,15
7976,Diesel,Individual,Automatic,First Owner,17,2143,170,5,4
35000,Petrol,Individual,Manual,First Owner,16,796,34,8,6
35000,Petrol,Individual,Manual,First Owner,18,1197,82,5,5
35000,Petrol,Individual,Manual,First Owner,18,1197,82,5,5
50000,Petrol,Individual,Automatic,First Owner,16,1197,78,5,9
20000,Petrol,Individual,Manual,First Owner,20,1197,81,5,6
20000,Petrol,Individual,Automatic,First Owner,16,1197,78,5,11
50000,Petrol,Individual,Manual,Second Owner,18,1197,85,5,10
50000,Petrol,Individual,Manual,Second Owner,18,1197,85,5,10
120000,Diesel,Individual,Manual,First Owner,15,2523,62,7,8
70000,Petrol,Individual,Manual,First Owner,17,1591,121,5,8
50000,Petrol,Individual,Manual,First Owner,17,1197,81,5,7
16500,Petrol,Individual,Manual,First Owner,21,1197,81,5,3
70000,Petrol,Individual,Manual,First Owner,17,1197,80,5,12
99361,Petrol,Individual,Manual,Second Owner,19,796,46,5,17
25000,Diesel,Individual,Manual,First Owner,26,1248,74,5,5
70000,Petrol,Individual,Manual,Second Owner,19,1197,85,5,8
80000,Diesel,Individual,Manual,Second Owner,24,1120,70,5,7
70000,Petrol,Individual,Manual,Second Owner,19,1197,85,5,8
60000,Petrol,Individual,Manual,Third Owner,18,1199,79,5,10
10000,Petrol,Individual,Automatic,First Owner,20,1199,84,5,4
80000,Petrol,Individual,Manual,First Owner,16,796,37,4,16
30000,Diesel,Individual,Manual,First Owner,25,1498,97,5,5
33000,Diesel,Individual,Manual,First Owner,25,1498,97,5,5
90000,Petrol,Individual,Manual,Third Owner,16,1373,93,7,9
80100,Diesel,Individual,Manual,Second Owner,19,1461,108,5,8
120000,Petrol,Individual,Manual,First Owner,17,1497,117,5,8
40000,Petrol,Individual,Manual,First Owner,25,799,53,5,6
160000,Diesel,Individual,Manual,Second Owner,12,2494,100,8,9
47000,Petrol,Individual,Manual,First Owner,20,998,67,5,5
25000,Diesel,Individual,Manual,First Owner,21,1396,88,5,4
26000,Petrol,Individual,Manual,First Owner,23,1199,84,5,5
29000,Diesel,Individual,Manual,First Owner,24,1186,73,5,4
50000,Petrol,Individual,Automatic,First Owner,21,1197,83,5,6
58000,Petrol,Individual,Manual,Third Owner,16,1298,88,5,11
120000,Petrol,Individual,Automatic,First Owner,17,1197,85,5,10
50000,Petrol,Individual,Manual,First Owner,20,1197,81,5,8
80000,Petrol,Individual,Manual,Fourth & Above Owner,17,1197,80,5,12
60000,Petrol,Individual,Manual,Fourth & Above Owner,17,993,60,5,19
36000,Petrol,Individual,Manual,First Owner,23,998,67,5,5
120000,Diesel,Individual,Manual,Third Owner,12,2494,102,8,15
185000,Diesel,Individual,Manual,Third Owner,21,1248,73,5,11
50000,Diesel,Individual,Manual,First Owner,23,1461,63,5,11
100000,Petrol,Individual,Manual,Fourth & Above Owner,17,993,60,5,20
50000,Petrol,Individual,Manual,Second Owner,17,1591,121,5,9
80000,Petrol,Individual,Manual,Second Owner,18,998,67,5,15
80000,Petrol,Individual,Manual,Fourth & Above Owner,19,796,46,5,17
90000,Diesel,Individual,Manual,Fourth & Above Owner,19,1248,73,5,11
162000,Petrol,Individual,Manual,Second Owner,19,998,66,5,12
110000,Diesel,Individual,Manual,Third Owner,20,1248,88,7,9
120000,Diesel,Individual,Manual,Third Owner,17,1248,75,5,14
45000,Diesel,Individual,Manual,First Owner,23,1461,63,5,11
90000,Petrol,Individual,Manual,Second Owner,18,998,67,5,17
90000,Diesel,Individual,Manual,Second Owner,20,1399,68,5,12
16500,Petrol,Dealer,Manual,First Owner,17,1197,110,5,3
67000,Diesel,Individual,Automatic,First Owner,17,1582,126,5,5
52000,Petrol,Dealer,Manual,First Owner,22,1197,81,5,4
40000,Petrol,Dealer,Manual,First Owner,20,1198,67,5,6
40000,Petrol,Dealer,Manual,First Owner,18,1197,82,5,7
35000,Diesel,Individual,Manual,First Owner,14,2755,174,7,4
13000,Petrol,Dealer,Manual,First Owner,20,799,53,5,4
40000,Petrol,Dealer,Manual,First Owner,18,1198,86,5,10
10000,Petrol,Dealer,Manual,First Owner,17,1198,73,5,3
9000,Petrol,Dealer,Manual,First Owner,16,1498,97,5,10
70000,Diesel,Dealer,Manual,Second Owner,23,1364,67,5,9
60000,Petrol,Dealer,Manual,First Owner,20,1197,78,5,13
40000,Diesel,Dealer,Manual,First Owner,20,1461,83,5,8
93000,Diesel,Dealer,Manual,First Owner,15,2179,140,7,10
80000,Diesel,Individual,Manual,Fourth & Above Owner,12,2494,102,7,14
50000,Petrol,Individual,Manual,Second Owner,15,1193,64,5,11
68000,Petrol,Dealer,Automatic,First Owner,14,1797,147,5,9
25000,Diesel,Individual,Automatic,First Owner,14,2143,170,5,9
18000,Petrol,Dealer,Manual,First Owner,25,624,37,4,10
120000,Diesel,Individual,Manual,First Owner,23,1461,63,5,9
35000,Petrol,Individual,Manual,First Owner,18,998,67,5,17
60000,Diesel,Individual,Manual,Second Owner,26,1248,74,5,6
70000,Petrol,Individual,Manual,Fourth & Above Owner,20,1197,78,5,12
30000,Petrol,Individual,Manual,First Owner,25,799,53,5,6
70000,Petrol,Individual,Automatic,First Owner,16,1798,189,5,6
9000,Diesel,Dealer,Automatic,First Owner,13,1999,177,5,5
20000,Petrol,Dealer,Automatic,First Owner,22,2487,214,5,3
45000,Diesel,Dealer,Automatic,First Owner,19,1999,177,5,5
110000,Diesel,Individual,Manual,First Owner,14,2179,147,7,7
20000,Diesel,Individual,Automatic,First Owner,18,1969,190,5,3
68089,Petrol,Trustmark Dealer,Automatic,First Owner,19,2494,157,5,6
58343,Petrol,Trustmark Dealer,Manual,First Owner,21,998,67,5,9
38817,Diesel,Dealer,Manual,First Owner,27,1248,74,5,4
56494,Petrol,Trustmark Dealer,Manual,First Owner,18,1199,88,5,6
79328,Diesel,Trustmark Dealer,Manual,Second Owner,12,2494,100,7,9
5621,Petrol,Trustmark Dealer,Automatic,First Owner,22,1197,81,5,3
25538,Petrol,Trustmark Dealer,Manual,First Owner,16,1496,88,5,5
69779,Petrol,Dealer,Automatic,First Owner,22,1197,81,5,4
56290,Diesel,Dealer,Manual,First Owner,24,1186,73,5,5
7500,Diesel,Dealer,Automatic,First Owner,16,1995,190,5,3
8500,Diesel,Dealer,Automatic,First Owner,16,1995,190,5,3
7032,Petrol,Trustmark Dealer,Automatic,First Owner,19,1199,88,5,3
11000,Petrol,Dealer,Automatic,First Owner,14,1598,103,5,6
2000,Diesel,Dealer,Automatic,First Owner,16,1984,150,5,4
106000,Petrol,Individual,Manual,Third Owner,20,1197,78,5,12
120000,Petrol,Individual,Automatic,Second Owner,11,2354,158,5,13
90000,Diesel,Individual,Manual,First Owner,26,1248,74,5,7
70000,Diesel,Individual,Manual,Third Owner,22,1582,126,5,8
240000,Diesel,Individual,Manual,Third Owner,12,2494,102,8,17
100000,Diesel,Individual,Manual,Second Owner,21,1248,88,5,10
214000,Petrol,Individual,Manual,Second Owner,13,1599,103,5,13
214000,Diesel,Individual,Manual,Second Owner,16,1493,110,5,13
50000,Petrol,Individual,Manual,First Owner,22,796,47,5,6
1000,Petrol,Individual,Automatic,First Owner,18,1497,117,5,4
19000,Diesel,Individual,Automatic,First Owner,28,1248,74,5,5
265000,Diesel,Individual,Manual,Second Owner,17,1405,70,5,10
35000,CNG,Individual,Manual,First Owner,20,1196,61,5,2
80000,Petrol,Individual,Manual,Second Owner,23,998,67,5,8
50000,Diesel,Individual,Automatic,First Owner,16,2179,140,7,6
80000,Petrol,Individual,Manual,First Owner,20,998,67,5,12
50000,Petrol,Individual,Manual,Second Owner,21,814,55,5,9
100000,Petrol,Individual,Manual,First Owner,23,1199,84,5,4
120000,Petrol,Individual,Manual,Second Owner,15,1196,73,5,9
9000,Diesel,Dealer,Automatic,First Owner,13,1999,177,5,5
20000,Petrol,Dealer,Automatic,First Owner,22,2487,214,5,3
45000,Diesel,Dealer,Automatic,First Owner,19,1999,177,5,5
110000,Diesel,Individual,Manual,First Owner,14,2179,147,7,7
20000,Diesel,Individual,Automatic,First Owner,18,1969,190,5,3
68089,Petrol,Trustmark Dealer,Automatic,First Owner,19,2494,157,5,6
58343,Petrol,Trustmark Dealer,Manual,First Owner,21,998,67,5,9
38817,Diesel,Dealer,Manual,First Owner,27,1248,74,5,4
56494,Petrol,Trustmark Dealer,Manual,First Owner,18,1199,88,5,6
79328,Diesel,Trustmark Dealer,Manual,Second Owner,12,2494,100,7,9
5621,Petrol,Trustmark Dealer,Automatic,First Owner,22,1197,81,5,3
25538,Petrol,Trustmark Dealer,Manual,First Owner,16,1496,88,5,5
69779,Petrol,Dealer,Automatic,First Owner,22,1197,81,5,4
56290,Diesel,Dealer,Manual,First Owner,24,1186,73,5,5
7500,Diesel,Dealer,Automatic,First Owner,16,1995,190,5,3
8500,Diesel,Dealer,Automatic,First Owner,16,1995,190,5,3
7032,Petrol,Trustmark Dealer,Automatic,First Owner,19,1199,88,5,3
11000,Petrol,Dealer,Automatic,First Owner,14,1598,103,5,6
2000,Diesel,Dealer,Automatic,First Owner,16,1984,150,5,4
40000,Diesel,Individual,Automatic,First Owner,23,1498,78,5,3
45000,Diesel,Individual,Manual,First Owner,21,1396,88,5,5
80000,Petrol,Individual,Manual,Second Owner,19,796,46,5,12
135000,Diesel,Individual,Manual,Second Owner,24,1120,71,5,7
120000,Diesel,Individual,Manual,Second Owner,12,2494,100,7,7
67000,Diesel,Individual,Manual,First Owner,23,1364,67,5,9
50000,Diesel,Individual,Manual,First Owner,28,1248,74,5,5
134000,Diesel,Individual,Manual,Second Owner,12,2494,102,7,14
110000,Diesel,Individual,Manual,Second Owner,23,1461,63,5,11
